Row,Visible_Tokens,Token_IDs
0,"x | [SPC] | = | [SPC] | [ | 1 | , | [SPC] | 2 | , | [SPC] | 3 | ] | [NWLN] | print | [SPC] | x","[58, 29, 23, 29, 26, 15, 13, 29, 17, 13, 29, 18, 30, 28, 54, 29, 58]"
1,"list | [SPC] | = | [SPC] | [ | 1 | , | [SPC] | 2 | , | [SPC] | 3 | , | [SPC] | 4 | ] | [NWLN] | for | [SPC] | i | [SPC] | in | [SPC] | list | [NWLN] | [INDENT] | print | ( | i | )","[49, 29, 23, 29, 26, 15, 13, 29, 17, 13, 29, 18, 13, 29, 19, 30, 28, 41, 29, 45, 29, 47, 29, 49, 28, 27, 54, 9, 45, 10]"
2,def | [SPC] | factorial | ( | n | ) | : | [NWLN] | [INDENT] | if | [SPC] | n | [SPC] | = | = | [SPC] | 1 | [NWLN] | [INDENT] | [INDENT] | return | [SPC] | 1 | [NWLN] | [INDENT] | else | : | [NWLN] | [INDENT] | [INDENT] | return | [SPC] | n | [SPC] | * | [SPC] | factorial | ( | n | - | 1 | ),"[35, 29, 39, 9, 52, 10, 22, 28, 27, 46, 29, 52, 29, 23, 23, 29, 15, 28, 27, 27, 56, 29, 15, 28, 27, 38, 22, 28, 27, 27, 56, 29, 52, 29, 11, 29, 39, 9, 52, 14, 15, 10]"
3,def | [SPC] | foo | ( | ) | [NWLN] | [INDENT] | print | ( | 'Missing | [SPC] | colon | [SPC] | in | [SPC] | function | [SPC] | definition' | ),"[35, 29, 40, 9, 10, 28, 27, 54, 9, 5, 29, 34, 29, 47, 29, 42, 29, 36, 10]"
4,def | [SPC] | factorial | ( | n | ) | : | [NWLN] | [INDENT] | if | [SPC] | n | [SPC] | = | = | [SPC] | 1 | [NWLN] | [INDENT] | [INDENT] | return | [SPC] | 1 | [NWLN] | [INDENT] | else | : | [NWLN] | [INDENT] | [INDENT] | return | [SPC] | n | [SPC] | * | [SPC] | factorial | ( | n | - | 1 | ),"[35, 29, 39, 9, 52, 10, 22, 28, 27, 46, 29, 52, 29, 23, 23, 29, 15, 28, 27, 27, 56, 29, 15, 28, 27, 38, 22, 28, 27, 27, 56, 29, 52, 29, 11, 29, 39, 9, 52, 14, 15, 10]"
5,"def | [SPC] | greet | ( | name | ) | : | [NWLN] | [INDENT] | print | ( | 'Hello | , | [SPC] | ' | [SPC] | + | [SPC] | name | )","[35, 29, 44, 9, 53, 10, 22, 28, 27, 54, 9, 4, 13, 29, 2, 29, 12, 29, 53, 10]"
6,def | [SPC] | factorial | ( | n | ) | : | [NWLN] | [INDENT] | if | [SPC] | n | [SPC] | = | = | [SPC] | 1 | [NWLN] | [INDENT] | [INDENT] | return | [SPC] | 1 | [NWLN] | [INDENT] | else | : | [NWLN] | [INDENT] | [INDENT] | return | [SPC] | n | [SPC] | * | [SPC] | factorial | ( | n | - | 1 | ),"[35, 29, 39, 9, 52, 10, 22, 28, 27, 46, 29, 52, 29, 23, 23, 29, 15, 28, 27, 27, 56, 29, 15, 28, 27, 38, 22, 28, 27, 27, 56, 29, 52, 29, 11, 29, 39, 9, 52, 14, 15, 10]"
7,"def | [SPC] | greet | ( | name | ) | : | [NWLN] | [INDENT] | print | ( | 'Hello | , | [SPC] | ' | [SPC] | + | [SPC] | name | )","[35, 29, 44, 9, 53, 10, 22, 28, 27, 54, 9, 4, 13, 29, 2, 29, 12, 29, 53, 10]"
8,def | [SPC] | factorial | ( | n | ) | : | [NWLN] | [INDENT] | if | [SPC] | n | [SPC] | = | = | [SPC] | 1 | [NWLN] | [INDENT] | [INDENT] | return | [SPC] | 1 | [NWLN] | [INDENT] | else | : | [NWLN] | [INDENT] | [INDENT] | return | [SPC] | n | [SPC] | * | [SPC] | factorial | ( | n | - | 1 | ),"[35, 29, 39, 9, 52, 10, 22, 28, 27, 46, 29, 52, 29, 23, 23, 29, 15, 28, 27, 27, 56, 29, 15, 28, 27, 38, 22, 28, 27, 27, 56, 29, 52, 29, 11, 29, 39, 9, 52, 14, 15, 10]"
9,def | [SPC] | foo | ( | ) | [NWLN] | [INDENT] | print | ( | 'Missing | [SPC] | colon | [SPC] | in | [SPC] | function | [SPC] | definition' | ),"[35, 29, 40, 9, 10, 28, 27, 54, 9, 5, 29, 34, 29, 47, 29, 42, 29, 36, 10]"
10,if | [SPC] | ( | a | [SPC] | > | [SPC] | b | ) | : | [NWLN] | [INDENT] | print | ( | 'a | [SPC] | is | [SPC] | greater' | ) | [NWLN] | else | [NWLN] | [INDENT] | print | ( | 'b | [SPC] | is | [SPC] | greater' | ),"[46, 29, 9, 31, 29, 24, 29, 33, 10, 22, 28, 27, 54, 9, 6, 29, 48, 29, 43, 10, 28, 38, 28, 27, 54, 9, 7, 29, 48, 29, 43, 10]"
11,while | [SPC] | True | [NWLN] | [INDENT] | do_something | ( | ),"[57, 29, 25, 28, 27, 37, 9, 10]"
12,"def | [SPC] | add | ( | a | , | [SPC] | b | ) | [NWLN] | [INDENT] | return | [SPC] | a | [SPC] | + | [SPC] | b","[35, 29, 32, 9, 31, 13, 29, 33, 10, 28, 27, 56, 29, 31, 29, 12, 29, 33]"
13,if | [SPC] | x | [SPC] | = | [SPC] | 5 | : | [NWLN] | [INDENT] | print | ( | 'x | [SPC] | is | [SPC] | 5' | ),"[46, 29, 58, 29, 23, 29, 20, 22, 28, 27, 54, 9, 8, 29, 48, 29, 21, 10]"
14,def | [SPC] | foo | ( | ) | [NWLN] | [INDENT] | print | ( | 'Missing | [SPC] | colon | [SPC] | in | [SPC] | function | [SPC] | definition' | ),"[35, 29, 40, 9, 10, 28, 27, 54, 9, 5, 29, 34, 29, 47, 29, 42, 29, 36, 10]"
15,while | [SPC] | True | [NWLN] | [INDENT] | do_something | ( | ),"[57, 29, 25, 28, 27, 37, 9, 10]"
16,def | [SPC] | foo | ( | ) | [NWLN] | [INDENT] | print | ( | 'Missing | [SPC] | colon | [SPC] | in | [SPC] | function | [SPC] | definition' | ),"[35, 29, 40, 9, 10, 28, 27, 54, 9, 5, 29, 34, 29, 47, 29, 42, 29, 36, 10]"
17,for | [SPC] | i | [SPC] | in | [SPC] | range | ( | 10 | ) | : | [NWLN] | print | ( | i | ),"[41, 29, 45, 29, 47, 29, 55, 9, 16, 10, 22, 28, 54, 9, 45, 10]"
18,while | [SPC] | True | [NWLN] | [INDENT] | do_something | ( | ),"[57, 29, 25, 28, 27, 37, 9, 10]"
19,"x | [SPC] | = | [SPC] | [ | 1 | , | [SPC] | 2 | , | [SPC] | 3 | ] | [NWLN] | print | [SPC] | x","[58, 29, 23, 29, 26, 15, 13, 29, 17, 13, 29, 18, 30, 28, 54, 29, 58]"
20,def | [SPC] | factorial | ( | n | ) | : | [NWLN] | [INDENT] | if | [SPC] | n | [SPC] | = | = | [SPC] | 1 | [NWLN] | [INDENT] | [INDENT] | return | [SPC] | 1 | [NWLN] | [INDENT] | else | : | [NWLN] | [INDENT] | [INDENT] | return | [SPC] | n | [SPC] | * | [SPC] | factorial | ( | n | - | 1 | ),"[35, 29, 39, 9, 52, 10, 22, 28, 27, 46, 29, 52, 29, 23, 23, 29, 15, 28, 27, 27, 56, 29, 15, 28, 27, 38, 22, 28, 27, 27, 56, 29, 52, 29, 11, 29, 39, 9, 52, 14, 15, 10]"
21,def | [SPC] | foo | ( | ) | [NWLN] | [INDENT] | print | ( | 'Missing | [SPC] | colon | [SPC] | in | [SPC] | function | [SPC] | definition' | ),"[35, 29, 40, 9, 10, 28, 27, 54, 9, 5, 29, 34, 29, 47, 29, 42, 29, 36, 10]"
22,"list | [SPC] | = | [SPC] | [ | 1 | , | [SPC] | 2 | , | [SPC] | 3 | , | [SPC] | 4 | ] | [NWLN] | for | [SPC] | i | [SPC] | in | [SPC] | list | [NWLN] | [INDENT] | print | ( | i | )","[49, 29, 23, 29, 26, 15, 13, 29, 17, 13, 29, 18, 13, 29, 19, 30, 28, 41, 29, 45, 29, 47, 29, 49, 28, 27, 54, 9, 45, 10]"
23,def | [SPC] | foo | ( | ) | [NWLN] | [INDENT] | print | ( | 'Missing | [SPC] | colon | [SPC] | in | [SPC] | function | [SPC] | definition' | ),"[35, 29, 40, 9, 10, 28, 27, 54, 9, 5, 29, 34, 29, 47, 29, 42, 29, 36, 10]"
24,for | [SPC] | i | [SPC] | in | [SPC] | range | ( | 10 | ) | : | [NWLN] | print | ( | i | ),"[41, 29, 45, 29, 47, 29, 55, 9, 16, 10, 22, 28, 54, 9, 45, 10]"
25,def | [SPC] | factorial | ( | n | ) | : | [NWLN] | [INDENT] | if | [SPC] | n | [SPC] | = | = | [SPC] | 1 | [NWLN] | [INDENT] | [INDENT] | return | [SPC] | 1 | [NWLN] | [INDENT] | else | : | [NWLN] | [INDENT] | [INDENT] | return | [SPC] | n | [SPC] | * | [SPC] | factorial | ( | n | - | 1 | ),"[35, 29, 39, 9, 52, 10, 22, 28, 27, 46, 29, 52, 29, 23, 23, 29, 15, 28, 27, 27, 56, 29, 15, 28, 27, 38, 22, 28, 27, 27, 56, 29, 52, 29, 11, 29, 39, 9, 52, 14, 15, 10]"
26,"def | [SPC] | greet | ( | name | ) | : | [NWLN] | [INDENT] | print | ( | 'Hello | , | [SPC] | ' | [SPC] | + | [SPC] | name | )","[35, 29, 44, 9, 53, 10, 22, 28, 27, 54, 9, 4, 13, 29, 2, 29, 12, 29, 53, 10]"
27,"def | [SPC] | add | ( | a | , | [SPC] | b | ) | [NWLN] | [INDENT] | return | [SPC] | a | [SPC] | + | [SPC] | b","[35, 29, 32, 9, 31, 13, 29, 33, 10, 28, 27, 56, 29, 31, 29, 12, 29, 33]"
28,def | [SPC] | factorial | ( | n | ) | : | [NWLN] | [INDENT] | if | [SPC] | n | [SPC] | = | = | [SPC] | 1 | [NWLN] | [INDENT] | [INDENT] | return | [SPC] | 1 | [NWLN] | [INDENT] | else | : | [NWLN] | [INDENT] | [INDENT] | return | [SPC] | n | [SPC] | * | [SPC] | factorial | ( | n | - | 1 | ),"[35, 29, 39, 9, 52, 10, 22, 28, 27, 46, 29, 52, 29, 23, 23, 29, 15, 28, 27, 27, 56, 29, 15, 28, 27, 38, 22, 28, 27, 27, 56, 29, 52, 29, 11, 29, 39, 9, 52, 14, 15, 10]"
29,while | [SPC] | True | [NWLN] | [INDENT] | do_something | ( | ),"[57, 29, 25, 28, 27, 37, 9, 10]"
30,"def | [SPC] | greet | ( | name | ) | : | [NWLN] | [INDENT] | print | ( | 'Hello | , | [SPC] | ' | [SPC] | + | [SPC] | name | )","[35, 29, 44, 9, 53, 10, 22, 28, 27, 54, 9, 4, 13, 29, 2, 29, 12, 29, 53, 10]"
31,for | [SPC] | i | [SPC] | in | [SPC] | range | ( | 10 | ) | : | [NWLN] | print | ( | i | ),"[41, 29, 45, 29, 47, 29, 55, 9, 16, 10, 22, 28, 54, 9, 45, 10]"
32,if | [SPC] | x | [SPC] | = | [SPC] | 5 | : | [NWLN] | [INDENT] | print | ( | 'x | [SPC] | is | [SPC] | 5' | ),"[46, 29, 58, 29, 23, 29, 20, 22, 28, 27, 54, 9, 8, 29, 48, 29, 21, 10]"
33,"def | [SPC] | greet | ( | name | ) | : | [NWLN] | [INDENT] | print | ( | 'Hello | , | [SPC] | ' | [SPC] | + | [SPC] | name | )","[35, 29, 44, 9, 53, 10, 22, 28, 27, 54, 9, 4, 13, 29, 2, 29, 12, 29, 53, 10]"
34,"x | [SPC] | = | [SPC] | [ | 1 | , | [SPC] | 2 | , | [SPC] | 3 | ] | [NWLN] | print | [SPC] | x","[58, 29, 23, 29, 26, 15, 13, 29, 17, 13, 29, 18, 30, 28, 54, 29, 58]"
